	Likert Scale 1 for Most Unlikely to 5 for Most Likely																													
1	Age	Gender	qualification	Yearsofexperience	ROL1	ROL2	ROL3	BO1	BO2	BO3	BO4	BO1	BO6	BO7	BO8	BO9	SE1	SE2	SE3	SE4	PP1	PP2	PP3	PP4	PP5	PP6	PP7	PP8	PP9	PP10
2	1	1	2	2	4	2	2	4	5	2	3	2	2	3	4	2	4	4	4	2	4	4	2	4	4	4	3	4	4	4
3	1	1	3	2	4	4	4	4	4	4	2	2	3	4	2	2	3	3	3	3	4	2	3	4	4	4	4	4	2	3
4	1	2	3	2	4	4	4	4	4	4	4	4	4	4	4	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4
5	1	2	3	2	3	2	4	4	2	5	3	2	2	3	4	2	4	4	4	4	4	4	2	3	3	4	4	4	4	4
6	1	2	3	2	5	4	5	4	4	3	4	3	2	5	2	2	4	4	4	3	4	4	4	5	4	5	4	4	4	5
7	2	2	3	4	5	4	4	5	5	5	3	4	4	4	2	4	4	2	4	2	3	5	5	5	5	5	5	5	4	4
8	1	1	3	2	4	2	4	2	2	2	2	2	2	4	2	2	4	4	4	4	4	4	2	4	4	4	4	4	4	4
9	1	1	1	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
10	1	2	2	1	4	1	1	4	4	5	3	3	4	4	4	4	3	4	4	4	4	5	5	3	3	4	4	4	4	4
11	2	1	3	3	4	3	4	4	3	4	2	2	2	5	4	2	3	2	4	3	4	4	4	4	4	4	4	4	4	4
12	2	1	3	3	3	4	4	2	4	3	2	2	2	5	2	2	3	2	4	4	3	4	4	4	4	4	3	4	4	3
13	1	2	3	1	3	2	2	4	4	4	4	4	4	3	3	3	2	3	4	2	4	4	3	4	4	4	4	4	4	4
14	2	1	3	3	4	4	4	3	4	4	4	4	4	4	4	3	3	3	3	3	4	4	4	4	4	4	4	4	4	4
15	2	1	3	3	4	4	4	3	3	2	3	3	2	2	2	2	4	4	3	4	4	4	4	4	4	4	4	4	4	4
16	1	1	3	2	4	3	4	3	4	4	3	3	3	4	4	3	4	4	3	3	4	3	3	3	4	4	3	4	4	3
17	2	2	3	3	5	5	5	5	5	5	4	5	2	4	2	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4
18	2	1	3	2	5	4	5	5	4	4	4	5	4	5	5	4	4	4	2	4	4	2	1	4	5	5	5	4	4	4
19	2	1	3	4	4	4	4	2	4	2	2	2	2	4	4	2	4	4	4	4	3	4	4	4	4	4	3	4	4	4
20	2	1	3	2	4	4	5	4	2	2	2	2	3	5	3	2	4	4	4	4	4	4	4	3	3	3	4	4	4	3
21	2	1	2	4	2	2	3	2	1	2	2	2	2	2	2	2	4	2	4	2	3	3	3	3	4	3	4	3	4	3
22	1	2	3	2	5	4	5	4	2	4	2	1	1	5	5	2	5	5	2	2	4	4	5	5	5	5	5	5	4	4
23	2	2	3	2	5	4	5	5	5	5	5	5	5	5	3	5	4	2	4	2	4	3	4	3	3	3	3	4	4	4
